,Titre,Auteur,Volumes,Pages,Édition,Couverture,Format,Harakat,Vérification et préparation,Préface,Annotations,lien
41,المناظرات العقدية لشيخ الإسلام ابن تيمية,هيثم بن قاسم الحمري,,799,دار الناشر المتميز,Rigide,17x24cm,Pas ou peu (ou que sur le Matn),,,,https://www.sifatusafwa.com/fr/aqida-croyance/les-débats-d-ibn-taymiyyah-dans-les-questions-de-aqidah.html
42,الأمثال القرآنية القياسية المضروبة للإيمان باليوم الآخر,محمد رفيق فرُّخ أحمد,,863,دار الناشر المتميز,Rigide,17x24cm,Pas ou peu (ou que sur le Matn),,,,https://www.sifatusafwa.com/fr/aqida-croyance/les-exemples-employés-dans-le-coran-concernant-le-jour-dernier.html
43,الأحاديث الواردة في تحذير النبي أمته من الشرك,فهد بن سعد المقرن,,156,دار الناشر المتميز,Rigide,17x24cm,Pas ou peu (ou que sur le Matn),,,,https://www.sifatusafwa.com/fr/aqida-croyance/les-hadiths-concernant-la-mise-en-garde-contre-le-chirk.html
44,مصطلحات في كتب العقائد,محمد بن إبراهيم الحمد,,300,دار ابن خزيمة,Rigide,17x24cm,Pas ou peu (ou que sur le Matn),,,,https://www.sifatusafwa.com/fr/aqida-croyance/moustalahat-fi-koutoub-al-aqa-id-muhammad-ibrahim-al-hamad.html
45,نواقض توحيد الربوبية و مظاهرها,أ. د. أحمد بن عبد الله الغنيمان,,235,دار طيبة الخضراء,Souple,17x24cm,Pas ou peu (ou que sur le Matn),,,,https://www.sifatusafwa.com/fr/aqida-croyance/nawaqid-tawhid-ar-rouboubiyyah-dr-ahmad-ibn-abdallah-al-ghounayman.html
46,الطمأنينة والاعتدال في أركان الصلاة ومعدل الصلاة,شيخ الإسلام ابن تيمية,,78,المكتب الإسلامي,Souple,17x24cm,Pas ou peu (ou que sur le Matn),محمد رحمت الله الندوي,,,https://www.sifatusafwa.com/fr/aqida-croyance/parmi-les-piliers-de-la-prière-cheikh-al-islam-ibn-taymiyyah.html
47,رسالة الشرك ومظاهره,الشيخ مبارك الميلي,,511,الميراث النبوي,Rigide,17x24cm,En Partie,,,,https://www.sifatusafwa.com/fr/aqida-croyance/risalah-ach-chirk-wa-madhahirihi-cheikh-moubarak-al-mili.html
48,تعقبات العلماء ابابطين وسليمان بن سحمان والسعدي على لوامع الانوار البهية للسفاريني,ابابطين وسليمان بن سحمان والسعدي,,152,دار إلاف الدولية,Rigide,17x24cm,Pas ou peu (ou que sur le Matn),سليمان بن صالح الخراشي,,,https://www.sifatusafwa.com/fr/aqida-croyance/ta-qibat-ulema-aba-butayn-ibn-samhan-as-sa-di-ala-imam-as-safarini.html
49,الانتصار للنبي المختار صلى الله عليه وسلم,سليمان العربي بن صفية,,1246,مكتبة دار المنهاج,Rigide,17x24cm,En Partie,,,,https://www.sifatusafwa.com/fr/as-sira-an-nabawiya/al-intisar-li-an-nabi-al-mukhtar-sulayman-al-arabi.html
50,المدخل الى دراسة علم السيرة النبوية,أحمد بن غانم الأسدي,,424,دار ابن الجوزي,Rigide,17x24cm,Pas ou peu (ou que sur le Matn),,,,https://www.sifatusafwa.com/fr/as-sira-an-nabawiya/al-madkhal-ila-dirasah-ilm-as-sirah-an-nabawiyyah.html
51,المربي الأول صلى الله عليه وسلم : تأملات تربوية في مواقف نبوية,د. محمد بن عبد الله الدويش‎,,327,دار الحضارة,Rigide,17x24cm,Pas ou peu (ou que sur le Matn),,,,https://www.sifatusafwa.com/fr/as-sira-an-nabawiya/al-murabbi-al-awwal-le-prophète-de-muhammad-abdullah-ad-duwaish.html
52,السيرة النبوية الصحيحة,د. أكرم العمري,,821,العبيكان,Rigide,17x24cm,Pas ou peu (ou que sur le Matn),,,,https://www.sifatusafwa.com/fr/as-sira-an-nabawiya/as-sirah-an-nabawiyyah-as-sahihah-dr-akram-al-umari.html
53,أطلس القرآن - أماكن أقوام أعلام,د. شوقي أبو خليل,,248,دار الفكر,Rigide,20x28cm,Pas ou peu (ou que sur le Matn),,,,https://www.sifatusafwa.com/fr/as-sira-an-nabawiya/atlas-al-quran-lieux-et-personnes-mentionnés-dans-le-coran.html
54,ملهم العالم,د.عائض القرني,,713,دار الحضارة,Rigide,17x24cm,Pas ou peu (ou que sur le Matn),,,,https://www.sifatusafwa.com/fr/as-sira-an-nabawiya/celui-qui-inspira-le-monde-le-prophète-mohammed-dr-aid-al-qarni.html
