,Title,Author,Pages,Edition,Cover,Format,Harakat,Checking and preparation,Preface,Volumes,Annotations,lien
985,الحسام الماحق لكل مشرك ومنافق,الشيخ محمد تقي الدين الهلالي,363,دار الإمام مسلم,مجلد,17x24cm,None or a little bit (or only on the Matn),الشيخ مشهور بن حسن آل سلمان,,,,https://www.sifatusafwa.com/ar/كتب-معاصرة-في-المنهاج/al-husam-al-mahiq-li-kulli-mushrik-wa-munafiq-taqi-ad-din-al-hilali.html
986,الإيمان بالملائكة,الشيخ صالح الفوزان,46,دار الأثار,غلاف,12x17cm,None or a little bit (or only on the Matn),,,,,https://www.sifatusafwa.com/ar/كتب-معاصرة-في-المنهاج/al-imam-bi-al-mala-ikah-faith-in-the-angels-shaykh-salih-al-fawzan.html
987,الانتصار لكتاب العزيز الجبار ولأصحاب محمد الأخيار على أعدائهم الأشرار,الشيخ ربيع بن هادي المدخلي,610,دار المداد,مجلد,17x24cm,None or a little bit (or only on the Matn),,,,,https://www.sifatusafwa.com/ar/كتب-معاصرة-في-المنهاج/al-intisar-li-kitab-al-aziz-al-jabbar-shaykh-rabi-al-madkhali.html
988,المطالب المفيدة في مسائل العقيدة يليه تعريف بكتب العقيدة إلى القرن الرابع الهجري,طارق سعيد عبدالله القحطاني,1219,دار الناشر المتميز,مجلد,17x24cm,None or a little bit (or only on the Matn),,,2,,https://www.sifatusafwa.com/ar/كتب-معاصرة-في-المنهاج/al-matalib-al-mufidah-fi-masa-il-al-aqidah-tariq-ibn-said-al-qahtani.html
989,الاتباع للسلف الصالح اعتقاداً و منهجاً و فقهاً,الشيخ محمد بن فهد الفريح,72,دار اللؤلؤة,غلاف,14x20cm,None or a little bit (or only on the Matn),,,,,https://www.sifatusafwa.com/ar/كتب-معاصرة-في-المنهاج/following-the-salaf-salih-in-aqeedah-and-fiqh-muhammad-al-furayh.html
990,مجموع العقيدة والتوحيد,د. صادق البيضاني,440,دار اللؤلؤة,مجلد,17x24cm,None or a little bit (or only on the Matn),,,,,https://www.sifatusafwa.com/ar/كتب-معاصرة-في-المنهاج/majmu-al-aqidah-wa-tawhid-5-sharh-d-sadiq-al-baydani.html
991,قاعدة فهم السلف الصالح - مفهومها ، حجيتها ، أثرها ، الأسئلة الواردة عليها,د. يحي بن إبراهيم خليل بن إسحاق,1464,دار الصميعي,مجلد,17x24cm,None or a little bit (or only on the Matn),,,2,,https://www.sifatusafwa.com/ar/كتب-معاصرة-في-المنهاج/qa-idah-fahm-as-salaf-as-salih-mafhumuha-hujaytuha-atharuha.html
992,الأمر بلزوم جماعة المسلمين وإمامهم والتحذير من مفارقتهم,الشيخ عبد السلام بن برجس آل عبد الكريم,96,دار الإمام أحمد,غلاف,17x24cm,None or a little bit (or only on the Matn),,,,,https://www.sifatusafwa.com/ar/كتب-معاصرة-في-المنهاج/the-obligation-of-the-union-of-muslims-and-their-imam-ibn-barjis.html
993,الأصول الجامعة التي ترجع إليها مسألة الحكم بغير ما أنزل الله,أحمد بن محمد النجار,96,دار الناشر المتميز,غلاف,14x20cm,None or a little bit (or only on the Matn),,,,,https://www.sifatusafwa.com/ar/كتب-معاصرة-في-المنهاج/the-usul-relating-to-the-hukm-by-other-than-allah-s-revelation.html
994,أصول تقييد الكتاب والسنة بفهم السلف الصالح,أحمد بن محمد النجار,64,دار الناشر المتميز,غلاف,14x20cm,None or a little bit (or only on the Matn),,,,,https://www.sifatusafwa.com/ar/كتب-معاصرة-في-المنهاج/usul-taqiyyid-al-kitab-wa-as-sunnah-bi-fahm-as-salaf-as-salih.html
995,فتح الرحمن بكشف ما يلتبس في القران,الإمام زكريا الأنصاري,472,دار ابن الجوزي,مجلد,17x24cm,None or a little bit (or only on the Matn),,,,,https://www.sifatusafwa.com/ar/كلمات-و-مفردات-القرآن/fath-ar-rahman-bi-kashf-ma-yaltabisu-fil-quran-zakariya-al-ansari.html
996,كلمات القرآن تفسير وبيان,الشيخ حسنين مخلوف,432,دار ابن كثير,فليكس,8x12cm,In Majority or Totality,,,,,https://www.sifatusafwa.com/ar/كلمات-و-مفردات-القرآن/kalimat-al-qur-an-hasanein-mohammad-makhlouf.html
997,تفسير غريب القرآن,الإمام الأمير الصنعاني,351,دار ابن كثير,مجلد,17x24cm,,محمد صبحي بن حسن حلاق,,,,https://www.sifatusafwa.com/ar/كلمات-و-مفردات-القرآن/tafsir-gharib-al-qur-an-muhammad-al-emir-as-san-ani.html
998,كشف الشبهات وزوائد كشف الشبهات للشيخ سليمان بن عبد الله وتذييل الشيخ عبد الرحمن الدوسري والبراهين الموضحات لكشف الشبهات لابن طيب,,128,مدار الوطن,غلاف,17x24cm,In Part,محمد بن عبد الله بن صالح الهبدان,,,,https://www.sifatusafwa.com/ar/مؤلفات-في-العقيدة/about-the-matn-kashf-ash-shubuhat-matn-zawaid-nadhm-.html
999,الاقتصاد في الاعتقاد,الإمام عبد الغني بن عبد الواحد المقدسي,120,دار الأثار,غلاف,17x24cm,None or a little bit (or only on the Matn),عبد الكريم بن أحمد الحجوري,,,,https://www.sifatusafwa.com/ar/مؤلفات-في-العقيدة/al-iqtisad-fi-al-i-tiqad-by-abdulghani-ibn-qudamah-al-maqdisi.html
1000,المعتقد الصحيح الجامع المختصر لما كان عليه السلف الصالح,د. رعد عبد الستار الجميلي,1053,دار اللؤلؤة,مجلد,17x24cm,None or a little bit (or only on the Matn),الشيخ مشهور بن حسن آل سلمان,الشيخ مشهور بن حسن آل سلمان,2,,https://www.sifatusafwa.com/ar/مؤلفات-في-العقيدة/al-mu-taqad-as-saheeh-al-jaami-al-mukhtasar-aqeedah-salafiyyah.html
1001,الأصول والفروع,الإمام ابن حزم,410,دار ابن حزم,مجلد,17x24cm,In Part,عبد الحق التركماني,,,,https://www.sifatusafwa.com/ar/مؤلفات-في-العقيدة/al-usool-wa-al-furoo-al-imam-ibn-hazm-al-andalusee.html
1002,الرد على المعطلة,الحكيم الترمذي,319,الروضة للنشر,مجلد,17x24cm,In Majority or Totality,,,,,https://www.sifatusafwa.com/ar/مؤلفات-في-العقيدة/ar-rad-ala-al-mu-attilah-al-hakim-at-tirmidhi-295h.html
1003,رسالة في الاعتقاد (لمعة الاعتقاد),الإمام موفق الدين ابن قدامة المقدسي,124,دار الركائز,مجلد,17x24cm,In Majority or Totality,,,,,https://www.sifatusafwa.com/ar/مؤلفات-في-العقيدة/ar-risalah-fi-al-i-tiqad-lum-at-al-i-tiqad-ibn-qudamah-al-maqdissi.html
1004,التبصير في الدين وتمييز الفرقة الناجية عن الفرق الهالكين,أبو المظفر شاهفور بن طاهر الإسفراييني,700,دار الفضيلة,مجلد,17x24cm,None or a little bit (or only on the Matn),د. السعيد بن صابر بن عبده,أ. د. محمد بن عبد الله الوهيبي و أ. د. ناصر بن عبد الكريم العقل,,,https://www.sifatusafwa.com/ar/مؤلفات-في-العقيدة/at-tabsiru-fid-din-wa-tamayiz-al-firqah-an-najiyah-abu-mudhaffar-al-isfarayini-471h.html
1005,كتاب العرش,الإمام الذهبي,857,دار ابن حزم,مجلد,17x24cm,None or a little bit (or only on the Matn),د. محمد بن خليفة التميمي,,2,,https://www.sifatusafwa.com/ar/مؤلفات-في-العقيدة/kitab-al-arsh-by-imam-adh-dhahabi.html
1006,كتاب التوحيد,الإمام محمد بن عبد الوهاب,127,دار ابن حزم,فليكس,10x15cm,None or a little bit (or only on the Matn),,,,,https://www.sifatusafwa.com/ar/مؤلفات-في-العقيدة/kitab-at-tawhid-of-imam-muhammad-ibn-abdulwahhab-pocket-size.html
1007,نجاة الخلف في اعتقاد السلف,ابن قائد النجدي,126,دار السلام,غلاف,14x20cm,None or a little bit (or only on the Matn),,,,,https://www.sifatusafwa.com/ar/مؤلفات-في-العقيدة/najah-al-khalaf-fi-i-tiqad-as-salaf-ibn-qa-id-an-najdi-1097h.html
1008,النبذة الشريفة النفيسة في الرد على القبوريين,الشيخ محمد بن ناصر آل معمر,174,دار الفرقان,غلاف,17x24cm,In Majority or Totality,الشيخ عبد السلام بن برجس آل عبد الكريم,,,,https://www.sifatusafwa.com/ar/مؤلفات-في-العقيدة/rad-ala-al-qubooriyyeen-shaykh-al-mu-ammar-1225h-100-harakat.html
1009,منظومة الدرة المضية في القراءات الثلاث المرضية,الإمام ابن الجزري,99,دار الغوثاني,مجلد,17x24cm,In Majority or Totality,د. أيمن رشدي سويد,,,د. أيمن رشدي سويد,https://www.sifatusafwa.com/ar/متون-التجويد/ad-durrah-of-ibn-al-jazari-notes-ayman-suwayd-audio-cd.html
1010,منظومة المقدمة فيما يجب على قارئ القرآن أن يعلمه ـ المسماة المقدمة الجزرية,الإمام ابن الجزري,24,دار الغوثاني,غلاف,17x24cm,In Majority or Totality,أيمن رشدي سويد,,,,https://www.sifatusafwa.com/ar/متون-التجويد/al-muqaddimat-ul-jazariyyah-fi-tajweed-al-jazari-cd-audio.html
1011,منظومة حرز الأماني ووجه التهاني في القراءات السبع - المسمى متن الشاطبية,الإمام الشاطبي,301,دار الغوثاني,مجلد,17x24cm,In Majority or Totality,د. أيمن رشدي سويد,د. أيمن رشدي سويد,,د. أيمن رشدي سويد,https://www.sifatusafwa.com/ar/متون-التجويد/al-shatibiyyah-with-notes-by-ayman-suwayd-audio-cd.html
1012,منظومة الدرة المضية في القراءات الثلاث المرضية,الإمام ابن الجزري,99,دار الغوثاني,مجلد,12x17cm,In Majority or Totality,د. أيمن رشدي سويد,د. أيمن رشدي سويد,,د. أيمن رشدي سويد,https://www.sifatusafwa.com/ar/متون-التجويد/matn-ad-durrah-al-madiyyah-tahqiq-and-notes-by-ayman-suwayd.html
1013,منظومة طيبة النشر في القراءات العشر,الإمام ابن الجزري,220,دار الغوثاني,مجلد,12x17cm,In Majority or Totality,د. أيمن رشدي سويد,د. أيمن رشدي سويد,,د. أيمن رشدي سويد,https://www.sifatusafwa.com/ar/متون-التجويد/matn-tayyibah-an-nashr-tahqiq-and-notes-by-ayman-suwayd.html
1014,,,,,غلاف,8x12cm,In Majority or Totality,,,,,https://www.sifatusafwa.com/ar/متون-التجويد/mutun-in-tajwid-and-the-koranic-sciences-7-matn.html#/131-choose-tuhfat_al_atfal_muqaddima_al_jaziriyyah
1015,منظومة طيبة النشر في القراءات العشر,الإمام ابن الجزري,220,دار الغوثاني,مجلد,17x24cm,In Majority or Totality,د. أيمن رشدي سويد,,,د. أيمن رشدي سويد,https://www.sifatusafwa.com/ar/متون-التجويد/tayyibah-an-nashr-d-ibn-al-jazari-notes-ayman-suwayd-audio-cd.html
1016,نخبة الفكر في مصطلح أهل الأثر,الحافظ ابن حجر العسقلاني,39,دار العالمية,غلاف,8x12cm,In Majority or Totality,,,,,https://www.sifatusafwa.com/ar/متون-الحديث/matn-nukhbah-al-fikar-fi-mustalah-ahl-al-athar-ibn-hajar-al-asqalani.html
1017,,,,,غلاف,8x12cm,In Majority or Totality,,,,,https://www.sifatusafwa.com/ar/متون-الحديث/mutun-in-the-hadith-and-its-sciences-5-matn.html#/116-choose-al_mawqidhah_fi_ilm_al_hadith
1018,حزمة من ثلاثة كتيبات 100 حديث للحفظ من الصحيحين,,,منارة الإسلام,غلاف,8x12cm,In Majority or Totality,,,3,,https://www.sifatusafwa.com/ar/متون-الحديث/pack-of-3-levels-100-hadith-sahih-to-memorize-with-harakat.html
1019,,,32,دار الأثار,غلاف,12x17cm,In Majority or Totality,,,,,https://www.sifatusafwa.com/ar/متون-العقيدة/4-poems-on-sira-and-aqida-urjuza-mi-ayah-ha-iyah-laamiyah-siyar.html
1020,متن نواقض الإسلام ومتن شروط لا إله إلا الله,الإمام محمد بن عبد الوهاب,16,المكتبة الإسلامية,غلاف,12x17cm,In Majority or Totality,,,,,https://www.sifatusafwa.com/ar/متون-العقيدة/matn-nawaqid-al-islam-shurut-la-ilaha-illa-allah.html
1021,,,,,غلاف,8x12cm,In Majority or Totality,,,,,https://www.sifatusafwa.com/ar/متون-العقيدة/mutun-in-the-aqeedah-10-matn.html#/60-choose-matn_lum_at_al_i_tiqaad_ibn_qudama
1022,ما يتميز به المسلم عن المشرك,الإمام محمد بن عبد الوهاب,32,دار العالمية,غلاف,12x17cm,In Majority or Totality,,,,,https://www.sifatusafwa.com/ar/متون-العقيدة/what-distinguishes-the-muslim-from-the-mushrik-muhammad-ibn-abdelwahhab.html
1023,متون أصول الفقه: الورقات ، نظم الورقات ، منظومة القواعد الفقهية,,99,دار ابن حزم,فليكس,10x15cm,None or a little bit (or only on the Matn),,,,,https://www.sifatusafwa.com/ar/متون-الفقه/3-mutoon-usool-al-fiqh.html
1024,شرح الورقات في أصول الفقه,الإمام جلال الدين المحلي,355,دار ابن حزم,مجلد,17x24cm,In Majority or Totality,خالد بن خليل الزاهدي,,,,https://www.sifatusafwa.com/ar/متون-الفقه/al-waraqat-fi-usul-fiqh-matn-sharh-al-muhalli-special-annotations.html
1025,عمدة الأحكام من كلام خير الأنام,الإمام عبد الغني بن عبد الواحد المقدسي,,,,,In Majority or Totality,,,,,https://www.sifatusafwa.com/ar/متون-الفقه/matn-umdah-al-ahkam-abdulghani-al-maqdissi-small-sizes.html#/33-edition-edition_1
1026,عمدة الأحكام من كلام خير الأنام,الإمام عبد الغني بن عبد الواحد المقدسي,,,,,In Majority or Totality,,,,,https://www.sifatusafwa.com/ar/متون-الفقه/matn-umdah-al-ahkam-abdulghani-al-maqdissi-small-sizes.html#/35-edition-edition_3
1027,,,,,غلاف,8x12cm,In Majority or Totality,,,,,https://www.sifatusafwa.com/ar/متون-الفقه/mutun-in-fiqh-4-matn.html#/122-choose-nadhm_al_burhaniyyah
1028,كفاية الغلام في إعراب الكلام ألفية الآثاري,الإمام زين الدين شعبان الآثاري,152,مكتبه المشارق,غلاف,17x24cm,In Majority or Totality,,,,,https://www.sifatusafwa.com/ar/متون-اللغة-العربية/alfiat-al-athari-kifayah-al-ghulam-fi-i-rab-al-kalam.html
1029,ألفية السيوطي في النحو والصرف والخط,الإمام السيوطي,95,مكتبه المشارق,غلاف,17x24cm,In Majority or Totality,,,,,https://www.sifatusafwa.com/ar/متون-اللغة-العربية/alfiat-as-suyuti-fi-an-nahwi-wa-as-sarfi-wa-al-khatti.html
1030,ألفية ابن معطي في النحو و الصرف و الخط و الكتابة,يحيى بن عبد المعطي الزواوي,79,دار الفضيلة القاهرة,غلاف,17x24cm,In Majority or Totality,,,,,https://www.sifatusafwa.com/ar/متون-اللغة-العربية/alfiat-ibn-mu-ti-fi-an-nahwi-wa-as-sarfi-wa-al-khatt.html
1031,تنسيق الآجرومية,ابن آجروم,132,مكتبة الإمام الذهبي,غلاف,17x24cm,In Majority or Totality,سالم بن سعود الحميدان الهاجري,,,,https://www.sifatusafwa.com/ar/متون-اللغة-العربية/matn-al-ajrumiyyah-fi-an-nahw-special-annotations.html
1032,قطر الندي وبل الصدي,الإمام ابن هشام,,دار الصميعي,غلاف,17x24cm,In Majority or Totality,حسن بن خميس الهمامي,,,,https://www.sifatusafwa.com/ar/متون-اللغة-العربية/matn-qatr-an-nada-deep-tahqiq-and-special-annotations.html#/180-choose-متن_فقط
1033,,,,,غلاف,8x12cm,In Majority or Totality,,,,,https://www.sifatusafwa.com/ar/متون-اللغة-العربية/mutun-in-the-arabic-language-6-matn.html#/113-choose-mulhatu_al_i_rab
1034,متن قطر الندى لابن هشام والمغني في النحو للجاربردي,ابن هشام الأنصاري والجاربردي,,,,,In Majority or Totality,,,,,https://www.sifatusafwa.com/ar/متون-اللغة-العربية/qatr-an-nada-of-ibn-hisham-and-al-mughni-fi-an-nahw-of-al-jalabardi.html#/40-edition-small_size
1035,متن قطر الندى لابن هشام والمغني في النحو للجاربردي,ابن هشام الأنصاري والجاربردي,,,,,In Majority or Totality,,,,,https://www.sifatusafwa.com/ar/متون-اللغة-العربية/qatr-an-nada-of-ibn-hisham-and-al-mughni-fi-an-nahw-of-al-jalabardi.html#/42-edition-large_size
1036,الآجرومية - كراس,ابن الآجروم,147,دار الصميعي,غلاف,17x24cm,In Majority or Totality,حسن بن خميس الهمامي,,,,https://www.sifatusafwa.com/ar/متون-للتعليقات/matn-special-annotations-al-ajrumiyyah-al-wadihah-with-ijaza.html
1037,الفهارس العلمية لآثار الإمام ابن قيم الجوزية,,1269,دار عالم الفوائد,مجلد,17x24cm,None or a little bit (or only on the Matn),,العلامة بكر بن عبد الله أبو زيد,2,,https://www.sifatusafwa.com/ar/مجموع-الفتاوى-والرسائل/al-faharis-al-ilmiyyah-li-athar-al-imam-ibn-qayyim-al-jawziyyah.html
1038,الفتاوى الكبرى,شيخ الإسلام ابن تيمية,1718,دار ابن حزم,مجلد,17x24cm,None or a little bit (or only on the Matn),,,,,https://www.sifatusafwa.com/ar/مجموع-الفتاوى-والرسائل/al-fatawa-al-kubra-shaykh-al-islam-ibn-taymiyyah-1700-pages.html
1039,الجامع للمؤلفات والرسائل,الشيخ عبد الرزاق بن عبد المحسن البدر,,دار الإمام مسلم,مجلد,17x24cm,None or a little bit (or only on the Matn),,,22,,https://www.sifatusafwa.com/ar/مجموع-الفتاوى-والرسائل/al-jami-li-al-muallafat-wa-ar-rasail-shaykh-abdul-razzaq-al-badr.html
1040,الملخص لفتاوى شيخ الإسلام ابن تيمية,عبد العزيز الحربي,859,دار ابن حزم,مجلد,17x24cm,None or a little bit (or only on the Matn),,,,,https://www.sifatusafwa.com/ar/مجموع-الفتاوى-والرسائل/al-mulakhkhas-li-fatawa-shaykh-al-islam-ibn-taymiyyah.html
1041,آثار الإمام ابن قيم الجوزية وما لحقها من أعمال - رقم 1 إلى 7 - المجموعة الأولى,,,دار عالم الفوائد,مجلد,17x24cm,None or a little bit (or only on the Matn),,العلامة بكر بن عبد الله أبو زيد,8,,https://www.sifatusafwa.com/ar/مجموع-الفتاوى-والرسائل/athar-al-imam-ibn-qayyim-al-jawziyyah-1-to-7.html
1042,آثار الإمام ابن قيم الجوزية وما لحقها من أعمال - رقم 13 إلى 18 - المجموعة الثالثة,,,دار عالم الفوائد,مجلد,17x24cm,None or a little bit (or only on the Matn),,العلامة بكر بن عبد الله أبو زيد,7,,https://www.sifatusafwa.com/ar/مجموع-الفتاوى-والرسائل/athar-al-imam-ibn-qayyim-al-jawziyyah-13-to-18.html
1043,آثار الإمام ابن قيم الجوزية وما لحقها من أعمال - رقم 19 إلى 23 - المجموعة الرابعة,,,دار عالم الفوائد,مجلد,17x24cm,None or a little bit (or only on the Matn),,العلامة بكر بن عبد الله أبو زيد,5,,https://www.sifatusafwa.com/ar/مجموع-الفتاوى-والرسائل/athar-al-imam-ibn-qayyim-al-jawziyyah-19-to-23.html
1044,آثار الإمام ابن قيم الجوزية وما لحقها من أعمال - رقم 8 إلى 12 - المجموعة الثانية,,,دار عالم الفوائد,مجلد,17x24cm,None or a little bit (or only on the Matn),,العلامة بكر بن عبد الله أبو زيد,10,,https://www.sifatusafwa.com/ar/مجموع-الفتاوى-والرسائل/athar-al-imam-ibn-qayyim-al-jawziyyah-8-to-12.html
1045,آثار شيخ الإسلام ابن تيمية ـ المجموعة الأولى,شيخ الإسلام ابن تيمية,1879,دار ابن حزم,مجلد,17x24cm,None or a little bit (or only on the Matn),,,3,,https://www.sifatusafwa.com/ar/مجموع-الفتاوى-والرسائل/athar-ibn-taymiyyah-majmu-1-3-volumes.html
1046,آثار شيخ الإسلام ابن تيمية ـ المجموعة الثالثة,شيخ الإسلام ابن تيمية,3528,دار ابن حزم,مجلد,17x24cm,None or a little bit (or only on the Matn),,,7,,https://www.sifatusafwa.com/ar/مجموع-الفتاوى-والرسائل/athar-ibn-taymiyyah-majmu-3-7-volumes.html
1047,آثار شيخ الإسلام ابن تيمية ـ المجموعة الرابعة,شيخ الإسلام ابن تيمية,2132,دار ابن حزم,مجلد,17x24cm,None or a little bit (or only on the Matn),,,6,,https://www.sifatusafwa.com/ar/مجموع-الفتاوى-والرسائل/athar-ibn-taymiyyah-majmu-4-6-volumes.html
1048,مجموع فيه فتاوى ورسائل العلامة محمد بن إسماعيل الأمير الصنعاني,الإمام الأمير الصنعاني,256,دار البشائر الإسلامية,مجلد,17x24cm,None or a little bit (or only on the Matn),محمد صباح المنصور,,,,https://www.sifatusafwa.com/ar/مجموع-الفتاوى-والرسائل/collection-of-fatawa-and-rasail-muhammad-al-emir-as-san-ani.html
1049,دروس وفتاوى من الحرمين الشريفين,الشيخ محمد بن صالح العثيمين,,مؤسسة الشيخ العثيمين الخيرية,مجلد,17x24cm,In Majority or Totality,,,18,,https://www.sifatusafwa.com/ar/مجموع-الفتاوى-والرسائل/duroos-wa-fataawaa-min-al-haramayn-ash-sharifayn-al-uthaymeen.html
1050,رسائل مكي بن أبي طالب القيسي,مكي بن أبي طالب القيسي,317,دار ابن كثير,مجلد,17x24cm,In Part,د. أحمد حسن فرحات,,,,https://www.sifatusafwa.com/ar/مجموع-الفتاوى-والرسائل/epistles-of-al-allamah-makki-bin-abi-talib-al-qissi.html
1051,فتاوى على الطريق مسائل متنوعة,الشيخ محمد بن صالح العثيمين,1004,مؤسسة الشيخ العثيمين الخيرية,مجلد,17x24cm,In Majority or Totality,,,,,https://www.sifatusafwa.com/ar/مجموع-الفتاوى-والرسائل/fataawaa-ala-at-tareeq-fi-masaail-mutanawwi-ah-shayh-al-uthaymin.html
1052,فتاوى سؤال على الهاتف,الشيخ محمد بن صالح العثيمين,1967,مؤسسة الشيخ العثيمين الخيرية,مجلد,17x24cm,In Majority or Totality,,,2,,https://www.sifatusafwa.com/ar/مجموع-الفتاوى-والرسائل/fatawa-soual-ala-al-hatif-shayh-al-uthaymin-2-volumes.html
1053,فتاوى علماء جمعية العلماء المسلمين الجزائريين,,,دار ابن حزم,مجلد,17x24cm,In Part,مصطفى صابر,,,,https://www.sifatusafwa.com/ar/مجموع-الفتاوى-والرسائل/fatawa-ulama-jam-iyyah-ulama-al-muslimin-al-djaza-irin.html
1054,فتاوى في اللغة والتفسير,أ. د. عبد العزيز بن علي الحربي,329,دار ابن حزم,مجلد,17x24cm,None or a little bit (or only on the Matn),,,,,https://www.sifatusafwa.com/ar/مجموع-الفتاوى-والرسائل/fatwa-on-the-arabic-language-and-the-tafsir-of-dr-abdulaziz-al-harbi.html
1055,جامع تراث العلامة الألباني في الفقه,,,مكتبة ابن عباس,مجلد,17x24cm,None or a little bit (or only on the Matn),شادي بن محمد آل نعمان,,18,,https://www.sifatusafwa.com/ar/مجموع-الفتاوى-والرسائل/jaami-turath-al-allamah-al-albani-fil-fiqh-18-volumes.html
1056,جامع تراث العلامة الألباني في المنهج والأحداث الكبرى,,,مكتبة ابن عباس,مجلد,17x24cm,None or a little bit (or only on the Matn),شادي بن محمد آل نعمان,,12,,https://www.sifatusafwa.com/ar/مجموع-الفتاوى-والرسائل/jaami-turath-al-allamah-al-albani-fil-manhaj-12-volumes.html
1057,الخطب المنبرية في المناسبات العصرية,الشيخ صالح الفوزان,1008,دار البشائر الإسلامية,مجلد,17x24cm,None or a little bit (or only on the Matn),,,,,https://www.sifatusafwa.com/ar/مجموع-الفتاوى-والرسائل/khutbas-collection-of-sheikh-al-fawzan.html
1058,كتب ورسائل عبد المحسن بن حمد العباد البدر,,,دار ابن حزم,مجلد,17x24cm,None or a little bit (or only on the Matn),,,8,,https://www.sifatusafwa.com/ar/مجموع-الفتاوى-والرسائل/kutub-wa-rasail-abd-al-muhsin-al-abbad-al-badr-8-vol.html
1059,لقاءات الباب المفتوح,الشيخ محمد بن صالح العثيمين,,مؤسسة الشيخ العثيمين الخيرية,مجلد,17x24cm,In Part,,,10,,https://www.sifatusafwa.com/ar/مجموع-الفتاوى-والرسائل/liqa-at-al-bab-al-maftuh-al-uthaymin-10-volumes.html
1060,لقاءات الشهرية,الشيخ محمد بن صالح العثيمين,2647,مؤسسة الشيخ العثيمين الخيرية,مجلد,17x24cm,In Part,,,4,,https://www.sifatusafwa.com/ar/مجموع-الفتاوى-والرسائل/liqaat-al-shahriyyah-the-montly-meetings-shaykh-al-uthaymin-4-vol.html
1061,لقاءات وفتاوى الأقليات المسلمة,الشيخ محمد بن صالح العثيمين,,مؤسسة الشيخ العثيمين الخيرية,مجلد,17x24cm,In Majority or Totality,,,,,https://www.sifatusafwa.com/ar/مجموع-الفتاوى-والرسائل/liqaat-wa-fataawaa-al-aqliyyaat-al-muslimah-al-uthaymeen.html
1062,الفتح الرباني من فتاوى الشوكاني,الإمام محمد بن علي الشوكاني,7042,الجيل الجديد ناشرون,مجلد,17x24cm,In Part,محمد صبحي حلاق,,13,محمد صبحي حلاق,https://www.sifatusafwa.com/ar/مجموع-الفتاوى-والرسائل/majmu-fatawa-wa-rasail-ash-shawkani-fath-ar-rabbani-13-vol.html
1063,مجموع رسائل مرعي الكرمي الحنبلي,العلامة مرعي بن يوسف الكرمي,,دار اللباب,مجلد,17x24cm,In Part,محمد بركات و ماهر أديب حبوش و د. علي محمد زينو و محمد وائل الحنبلي و جمال عبد الرحيم الفارس و محمد طارق مغربية,محمد خلوف العبد الله,10,محمد بركات و ماهر أديب حبوش و د. علي محمد زينو و محمد وائل الحنبلي و جمال عبد الرحيم الفارس و محمد طارق مغربية,https://www.sifatusafwa.com/ar/مجموع-الفتاوى-والرسائل/majmu-rasail-al-allamah-mar-i-al-karmi-al-hanbali.html
1064,موسوعة العلامة الإمام المجدد العصرمحمد ناصر الدين الألباني في العقيدة,الإمام محمد ناصر الدين الألباني,,مكتبة ابن عباس,مجلد,17x24cm,None or a little bit (or only on the Matn),شادي بن محمد آل نعمان,,9,,https://www.sifatusafwa.com/ar/مجموع-الفتاوى-والرسائل/mawsu-ah-al-imam-al-albani-fi-al-aqidah-9-volumes.html
1065,رسائل فقهية,الشيخ حماد الأنصاري,240,الميراث النبوي,مجلد,17x24cm,None or a little bit (or only on the Matn),,,,,https://www.sifatusafwa.com/ar/مجموع-الفتاوى-والرسائل/rasaail-al-fiqhiyyah-by-sheikh-hamad-al-ansari-collection.html
1066,الأجوبة السعدية عن المسائل القصيمية,الشيخ عبد الرحمن السعدي,220,دار البشائر الإسلامية,مجلد,17x24cm,None or a little bit (or only on the Matn),هيثم بن جواد الحداد ووليد بن عبد الله المنيس,الشيخ عبد الله بن عبد العزيز العقيل,,,https://www.sifatusafwa.com/ar/مجموع-الفتاوى-والرسائل/sheikh-as-sa-di-s-answers-to-the-qassim-people-s-questions.html
1067,زاد من معاد ( خطب جمع في البلد الأمين ),أ. د. عبد العزيز بن علي الحربي,558,دار ابن حزم,مجلد,17x24cm,None or a little bit (or only on the Matn),,,,,https://www.sifatusafwa.com/ar/مجموع-الفتاوى-والرسائل/zad-min-ma-ad-collection-of-khutbah-dr-abdulaziz-al-harbi.html
1068,ـ120 سؤال وجواب في مصطلح الحديث وعلومه,الشيخ حافظ الحكمي,159,دار الأثار,غلاف,17x24cm,None or a little bit (or only on the Matn),,,,,https://www.sifatusafwa.com/ar/مصطلح-الحديث-علوم-الحديث/120-q-a-on-science-of-hadeeth-hafiz-hakami.html
1069,مقدمتان في فوائد علوم الحديث ومصطلحه وأصوله ( مقدمة جامع الأصول - مقدمة البدر المنير ),ابن الأثير - ابن الملقن,352,دار الناشر المتميز,مجلد,17x24cm,In Majority or Totality,أبو همام البيضاني,,,أبو همام البيضاني,https://www.sifatusafwa.com/ar/مصطلح-الحديث-علوم-الحديث/2-muqaddimah-in-the-science-of-hadith-ibn-al-athir-ibn-al-mulaqqin.html
1070,,,64,دار العالمية,غلاف,12x17cm,In Majority or Totality,,,,,https://www.sifatusafwa.com/ar/مصطلح-الحديث-علوم-الحديث/3-poems-fi-ilm-al-hadih-bayquniyah-nukhbatu-fikar-qasb-as-sukar.html
